Site,Code,SiteID,SiteID_IND,Date,Visit,Visit Number,Transect,Tnum,Plot,Pnum,Group,Species,Abundance
Conference,CN,CN_T2_P1,CN_T2_P1,28-Feb-20,2,1,2,T2,1,P1,2,MAFR,3
Conference,CN,CN_T2_P1,CN_T2_P1,22-Apr-20,4,2,2,T2,1,P1,2,LAGU,4
Conference,CN,CN_T2_P1,CN_T2_P1,22-Apr-20,4,2,2,T2,1,P1,2,BANA,4
Conference,CN,CN_T2_P1,CN_T2_P1,22-Apr-20,4,2,2,T2,1,P1,2,SNPI,3
Conference,CN,CN_T2_P3,CN_T2_P3,28-Feb-20,2,1,2,T2,3,P3,2,BANA,4
Conference,CN,CN_T2_P3,CN_T2_P3,28-Feb-20,2,1,2,T2,3,P3,2,SPTH,2
Conference,CN,CN_T2_P3,CN_T2_P3,28-Feb-20,2,1,2,T2,3,P3,2,ANCH,1
Conference,CN,CN_T2_P3,CN_T2_P3,28-Feb-20,2,1,2,T2,3,P3,2,SNPI,3
Conference,CN,CN_T2_P3,CN_T2_P3,28-Feb-20,2,1,2,T2,3,P3,2,TRMO,2
Conference,CN,CN_T2_P3,CN_T2_P3,22-Apr-20,4,2,2,T2,3,P3,2,CGDO,2
Conference,CN,CN_T2_P3,CN_T2_P3,22-Apr-20,4,2,2,T2,3,P3,2,BANA,6
Conference,CN,CN_T2_P3,CN_T2_P3,22-Apr-20,4,2,2,T2,3,P3,2,GRAK,2
Conference,CN,CN_T2_P3,CN_T2_P3,22-Apr-20,4,2,2,T2,3,P3,2,SPTH,1
Conference,CN,CN_T2_P3,CN_T2_P3,20-May-20,8,3,2,T2,3,P3,2,SNPI,1
Conference,CN,CN_T2_P3,CN_T2_P3,20-May-20,8,3,2,T2,3,P3,2,SPTH,2
Conference,CN,CN_T2_P3,CN_T2_P3,20-May-20,8,3,2,T2,3,P3,2,BANA,4
Conference,CN,CN_T2_P3,CN_T2_P3,20-May-20,8,3,2,T2,3,P3,2,YCNH,2
Levera,LV,LV_T1_P1,LV_T1_P13,30-Apr-20,5,2,1,T1,1,P1,,COGA,1
Levera,LV,LV_T1_P1,LV_T1_P13,30-Apr-20,5,2,1,T1,1,P1,,BANA,3.5
Levera,LV,LV_T1_P1,LV_T1_P13,30-Apr-20,5,2,1,T1,1,P1,,ZEND,1
Levera,LV,LV_T1_P1,LV_T1_P13,30-Apr-20,5,2,1,T1,1,P1,,TRMO,2
Levera,LV,LV_T1_P3,LV_T456_P13,30-Apr-20,5,2,1,T1,3,P3,,SNPI,1
Levera,LV,LV_T1_P3,LV_T456_P13,30-Apr-20,5,2,1,T1,3,P3,,GRAK,1
Levera,LV,LV_T1_P1,LV_T1_P13,31-May-20,9,3,1,T1,1,P1,,SNPI,4
Levera,LV,LV_T1_P1,LV_T1_P13,31-May-20,9,3,1,T1,1,P1,,BANA,4.5
Levera,LV,LV_T1_P1,LV_T1_P13,31-May-20,9,3,1,T1,1,P1,,MAFR,1
Levera,LV,LV_T1_P1,LV_T1_P13,31-May-20,9,3,1,T1,1,P1,,COGA,3
Levera,LV,LV_T1_P1,LV_T1_P13,31-May-20,9,3,1,T1,1,P1,,LAGU,4
Levera,LV,LV_T1_P3,LV_T456_P13,31-May-20,9,3,1,T1,3,P3,,TRMO,2
Levera,LV,LV_T1_P3,LV_T456_P13,31-May-20,9,3,1,T1,3,P3,,ANCH,1
Levera,LV,LV_T2_P1,LV_T1_P13,30-Apr-20,5,2,2,T2,1,P1,,COGA,1.5
Levera,LV,LV_T2_P1,LV_T1_P13,30-Apr-20,5,2,2,T2,1,P1,,ANCH,1
Levera,LV,LV_T2_P1,LV_T1_P13,30-Apr-20,5,2,2,T2,1,P1,,SNPI,4
Levera,LV,LV_T2_P1,LV_T1_P13,30-Apr-20,5,2,2,T2,1,P1,,BANA,4.7
Levera,LV,LV_T3_P1,LV_T23_P13,30-Apr-20,5,2,3,T3,1,P1,,MAFR,3
Levera,LV,LV_T3_P3,LV_T456_P13,30-Apr-20,5,2,3,T3,3,P3,,LAGU,4
Levera,LV,LV_T3_P3,LV_T456_P13,30-Apr-20,5,2,3,T3,3,P3,,GRAK,2
Levera,LV,LV_T3_P1,LV_T23_P13,31-May-20,9,3,3,T3,1,P1,,ANCH,1.5
Levera,LV,LV_T2_P1,LV_T1_P13,31-May-20,9,3,2,T2,1,P1,,BANA,4.25
Levera,LV,LV_T2_P3,LV_T456_P13,31-May-20,9,3,2,T2,3,P3,,BBWD,7
Levera,LV,LV_T3_P3,LV_T456_P13,31-May-20,9,3,3,T3,3,P3,,BWVI,3
Levera,LV,LV_T2_P3,LV_T456_P13,31-May-20,9,3,2,T2,3,P3,,CAGR,2
Levera,LV,LV_T3_P3,LV_T456_P13,31-May-20,9,3,3,T3,3,P3,,CGDO,2
Levera,LV,LV_T2_P3,LV_T456_P13,31-May-20,9,3,2,T2,3,P3,,COGA,3
Levera,LV,LV_T2_P3,LV_T456_P13,31-May-20,9,3,2,T2,3,P3,,GRAK,2
Levera,LV,LV_T2_P1,LV_T1_P13,31-May-20,9,3,2,T2,1,P1,,GRHE,2
Levera,LV,LV_T2_P1,LV_T1_P13,31-May-20,9,3,2,T2,1,P1,,SNPI,5.5
Levera,LV,LV_T2_P1,LV_T1_P13,31-May-20,9,3,2,T2,1,P1,,TRMO,1.7
Levera,LV,LV_T2_P1,LV_T1_P13,31-May-20,9,3,2,T2,1,P1,,ZEND,1
Levera,LV,LV_T4_P3,LV_T456_P13,30-Apr-20,5,2,4,T4,3,P3,,ANCH,2
Levera,LV,LV_T4_P1,LV_T23_P13,30-Apr-20,5,2,4,T4,1,P1,,BANA,6.6
Levera,LV,LV_T4_P1,LV_T23_P13,30-Apr-20,5,2,4,T4,1,P1,,BWHA,1
Levera,LV,LV_T4_P1,LV_T23_P13,30-Apr-20,5,2,4,T4,1,P1,,COGA,2.5
Levera,LV,LV_T4_P1,LV_T23_P13,30-Apr-20,5,2,4,T4,1,P1,,HOWR,1.5
Levera,LV,LV_T4_P1,LV_T23_P13,30-Apr-20,5,2,4,T4,1,P1,,MACU,1
Levera,LV,LV_T6_P1,LV_T23_P13,30-Apr-20,5,2,6,T6,1,P1,,SNPI,4
Levera,LV,LV_T4_P3,LV_T456_P13,30-Apr-20,5,2,4,T4,3,P3,,TRMO,1
Levera,LV,LV_T5_P3,LV_T456_P13,30-Apr-20,5,2,5,T5,3,P3,,YCNH,1
Levera,LV,LV_T5_P1,LV_T23_P13,30-Apr-20,5,2,5,T5,1,P1,,ZEND,1
Levera,LV,LV_T4_P3,LV_T456_P13,31-May-20,9,3,4,T4,3,P3,,BANA,6
Levera,LV,LV_T5_P1,LV_T23_P13,31-May-20,9,3,5,T5,1,P1,,BBWD,7
Levera,LV,LV_T4_P3,LV_T456_P13,31-May-20,9,3,4,T4,3,P3,,BFGR,3
Levera,LV,LV_T5_P3,LV_T456_P13,31-May-20,9,3,5,T5,3,P3,,CAGR,2
Levera,LV,LV_T4_P1,LV_T23_P13,31-May-20,9,3,4,T4,1,P1,,CGDO,1
Levera,LV,LV_T4_P1,LV_T23_P13,31-May-20,9,3,4,T4,1,P1,,COGA,7.5
Levera,LV,LV_T5_P1,LV_T23_P13,31-May-20,9,3,5,T5,1,P1,,GBHE,1
Levera,LV,LV_T6_P1,LV_T23_P13,31-May-20,9,3,6,T6,1,P1,,GRHE,2
Levera,LV,LV_T5_P3,LV_T456_P13,31-May-20,9,3,5,T5,3,P3,,HOWR,1
Levera,LV,LV_T4_P1,LV_T23_P13,31-May-20,9,3,4,T4,1,P1,,LAGU,2
Levera,LV,LV_T4_P3,LV_T456_P13,31-May-20,9,3,4,T4,3,P3,,MACU,1
Levera,LV,LV_T4_P1,LV_T23_P13,31-May-20,9,3,4,T4,1,P1,,SNPI,8
Levera,LV,LV_T4_P1,LV_T23_P13,31-May-20,9,3,4,T4,1,P1,,TRMO,1.7
Levera,LV,LV_T6_P3,LV_T6_P3,30-Apr-20,5,2,6,T6,3,P3,,BANA,3
Levera,LV,LV_T6_P3,LV_T6_P3,31-May-20,9,3,6,T6,3,P3,,YCNH,2
Levera,LV,LV_T6_P3,LV_T6_P3,31-May-20,9,3,6,T6,3,P3,,GFLY,2
Levera,LV,LV_T6_P3,LV_T6_P3,31-May-20,9,3,6,T6,3,P3,,CAGR,1
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,BANA,4
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,SPTH,3
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,ZEND,1
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,BANA,3
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,GRAK,1
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,GFLY,2
Levera,LV,LV_T7_P1,LV_T7_P1,30-Apr-20,5,2,7,T7,1,P1,,CAMA,1
Levera,LV,LV_T7_P1,LV_T7_P1,31-May-20,9,3,7,T7,1,P1,,BEKI,2
Levera,LV,LV_T7_P1,LV_T7_P1,31-May-20,9,3,7,T7,1,P1,,SNPI,5
Levera,LV,LV_T7_P1,LV_T7_P1,31-May-20,9,3,7,T7,1,P1,,BANA,6
Levera,LV,LV_T7_P1,LV_T7_P1,31-May-20,9,3,7,T7,1,P1,,YCNH,1
Levera,LV,LV_T7_P1,LV_T7_P1,31-May-20,9,3,7,T7,1,P1,,GRHE,1
Levera,LV,LV_T7_P3,LV_T7_P3,30-Apr-20,5,2,7,T7,3,P3,,GFLY,2
Levera,LV,LV_T7_P3,LV_T7_P3,30-Apr-20,5,2,7,T7,3,P3,,CAMA,1
Levera,LV,LV_T7_P3,LV_T7_P3,31-May-20,9,3,7,T7,3,P3,,CAMA,2
Levera,LV,LV_T7_P3,LV_T7_P3,31-May-20,9,3,7,T7,3,P3,,GFLY,2
Levera,LV,LV_T7_P3,LV_T7_P3,31-May-20,9,3,7,T7,3,P3,,BARS,3
Mt. Hartman,MH,MH_T1_P1,MH_T1_P1,15-Feb-20,1,,1,T1,1,P1,1,BANA,1.5
Mt. Hartman,MH,MH_T1_P1,MH_T1_P1,15-Feb-20,1,,1,T1,1,P1,1,LANB,2
Mt. Hartman,MH,MH_T1_P1,MH_T1_P1,15-Feb-20,1,,1,T1,1,P1,1,CAGR,2
Mt. Hartman,MH,MH_T1_P1,MH_T1_P1,15-Feb-20,1,,1,T1,1,P1,1,GRAK,2
Mt. Hartman,MH,MH_T1_P1,MH_T1_P1,15-Feb-20,1,,1,T1,1,P1,1,SPTH,1
Mt. Hartman,MH,MH_T1_P1,MH_T1_P1,15-Feb-20,1,,1,T1,1,P1,1,ANCH,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,15-Feb-20,1,,2,T2,3,P3,3,HOWR,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,15-Feb-20,1,,2,T2,3,P3,3,EADO,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,15-Feb-20,1,,2,T2,3,P3,3,SNPI,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,YBSE,3
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,SBAN,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,BANA,4
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,ANCH,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,MACU,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,CAGR,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,LATA,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,SPTH,1
Mt. Hartman,MH,MH_T2_P3,MH_T12_P3,04-May-20,6,3,2,T2,3,P3,3,GRAK,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,15-Feb-20,1,,1,T1,3,P3,2,SPSA,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,15-Feb-20,1,,1,T1,3,P3,2,BANA,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,15-Feb-20,1,,1,T1,3,P3,2,CAGR,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,15-Feb-20,1,,1,T1,3,P3,2,TRMO,3
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,ANCH,2
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,YBEL,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,BFGR,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,ZEND,2
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,BANA,2
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,TRMO,2
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,CAGR,3
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,BWHA,1
Mt. Hartman,MH,MH_T1_P3,MH_T12_P3,04-May-20,6,3,1,T1,3,P3,2,YBSE,1
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,MAFR,2
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,SNPI,14
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,ZEND,1
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,BANA,2
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,SHCO,3
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,CAGR,3
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,LBHE,1
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,EADO,3
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,TRMO,3
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,1,P1,,LAGU,2
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,3,P3,,TRMO,2
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,3,P3,,HOWR,2
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,3,P3,,BANA,4
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,3,P3,,EADO,1
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,3,P3,,LAGU,1
Westerhall,WH,WH_T1,WH_T1,04-May-20,7,3,1,T1,3,P3,,YBSE,2
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,1,P1,,SNPI,4
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,1,P1,,BANA,3
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,1,P1,,GRAK,2
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,1,P1,,CAGR,2
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,3,P3,,BANA,2
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,3,P3,,HOWR,2
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,3,P3,,EADO,1
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,3,P3,,SBAN,1
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,3,P3,,BWHA,1
Westerhall,WH,WH_T2,WH_T2,04-May-20,7,3,2,T2,3,P3,,TRMO,2
Westerhall,WH,WH_T3,WH_T3,04-May-20,7,3,3,T3,1,P1,,SNPI,11
Westerhall,WH,WH_T3,WH_T3,04-May-20,7,3,3,T3,1,P1,,YCNH,1
Westerhall,WH,WH_T3,WH_T3,04-May-20,7,3,3,T3,1,P1,,CAGR,3
Westerhall,WH,WH_T3,WH_T3,04-May-20,7,3,3,T3,1,P1,,GRHE,1
Westerhall,WH,WH_T3,WH_T3,04-May-20,7,3,3,T3,1,P1,,EADO,1
Westerhall,WH,WH_T3,WH_T3,04-May-20,7,3,3,T3,1,P1,,BANA,4
Westerhall,WH,WH_T3,WH_T3,31-Mar-20,3,2,3,T3,3,P3,,BANA,3
Westerhall,WH,WH_T3,WH_T3,31-Mar-20,3,2,3,T3,3,P3,,LBHE,2
Westerhall,WH,WH_T3,WH_T3,31-Mar-20,3,2,3,T3,3,P3,,HOWR,2
Westerhall,WH,WH_T3,WH_T3,31-Mar-20,3,2,3,T3,3,P3,,MACU,1
Westerhall,WH,WH_T3,WH_T3,31-Mar-20,3,2,3,T3,3,P3,,TRMO,2
Westerhall,WH,WH_T3,WH_T3,31-Mar-20,3,2,3,T3,3,P3,,ANCH,1
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,LBHE,2
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,SNPI,5
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,SHCO,1
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,BWHA,1
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,BANA,4
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,EADO,2
Westerhall,WH,WH_T4,WH_T4,04-May-20,7,3,4,T4,1,P1,,GRAK,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,TRMO,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,BANA,2
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,HOWR,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,ANCH,2
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,GFLY,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,LBHE,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,TRMO,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,BANA,2
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,HOWR,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,ANCH,2
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,GFLY,1
Westerhall,WH,WH_T4,WH_T4,31-Mar-20,3,2,4,T4,3,P3,,LBHE,1
