Site,Camera,Time,DateOfHit,DateInstalled,DateRemoved,Species,Count
Levera,L3,23:48,9/19/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,4:52,9/20/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,3:10,9/21/20,9/12/20,9/26/20,Brown rat,1
Levera,L3,7:50,9/21/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,8:41,9/21/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,17:02,9/21/20,9/12/20,9/26/20,Mongoose,1
Levera,L3,23:49,9/22/20,9/12/20,9/26/20,Brown Rat,1
Levera,L3,19:38,9/24/20,9/12/20,9/26/20,Brown Rat,1
Mt Hartman,MH3,14:59,9/14/20,9/14/20,9/28/20,Mongoose ,1
Mt Hartman,MH3,9:43,9/17/20,9/14/20,9/28/20,Cat,1
Mt Hartman,MH3,5:22,9/19/20,9/14/20,9/28/20,Cat,1
